betai,K,K_M
3.00700423758044,28477426.0999159,56056064.6495438
3.01522009615307,28478868.0468668,56052220.7268051
3.02343595472569,28480298.8193933,56048347.598013
3.03165181329832,28481718.426113,56044445.2212056
3.03986767187094,28483126.8755708,56040513.5540237
3.04808353044356,28484524.1762394,56036552.5537082
3.05629938901619,28485910.336519,56032562.177097
3.06451524758881,28487285.3647376,56028542.3806233
3.07273110616144,28488649.2691514,56024493.1203125
3.08094696473406,28490002.0579448,56020414.3517794
3.08916282330668,28491343.7392306,56016306.0302261
3.09737868187931,28492674.3210502,56012168.1104388
3.10559454045193,28493993.8113737,56008000.5467851
3.11381039902456,28495302.2181003,56003803.2932118
3.12202625759718,28496599.5490579,55999576.3032412
3.1302421161698,28497885.8120041,55995319.5299689
3.13845797474243,28499161.0146258,55991032.9260608
3.14667383331505,28500425.1645393,55986716.4437501
3.15488969188768,28501678.2692907,55982370.0348341
3.1631055504603,28502920.3363563,55977993.6506719
3.17132140903293,28504151.3731421,55973587.2421807
3.17953726760555,28505371.3869846,55969150.759833
3.18775312617817,28506580.3851505,55964684.1536534
3.1959689847508,28507778.374837,55960187.3732155
3.20418484332342,28508965.3631722,55955660.3676389
3.21240070189605,28510141.3572148,55951103.0855856
3.22061656046867,28511306.3639546,55946515.4752571
3.22883241904129,28512460.3903126,55941897.4843908
3.23704827761392,28513603.4431407,55937249.0602565
3.24526413618654,28514735.5292228,55932570.1496538
3.25347999475917,28515856.6552739,55927860.6989076
3.26169585333179,28516966.8279408,55923120.6538653
3.26991171190442,28518066.0538022,55918349.959893
3.27812757047704,28519154.3393688,55913548.5618721
3.28634342904966,28520231.6910833,55908716.4041955
3.29455928762229,28521298.1153205,55903853.4307639
3.30277514619491,28522353.618388,55898959.5849824
3.31099100476754,28523398.2065256,55894034.8097561
3.31920686334016,28524431.8859057,55889079.0474872
3.32742272191278,28525454.6626335,55884092.24007
3.33563858048541,28526466.5427472,55879074.3288882
3.34385443905803,28527467.5322179,55874025.2548098
3.35207029763066,28528457.6369499,55868944.9581838
3.36028615620328,28529436.8627806,55863833.3788359
3.36850201477591,28530405.2154809,55858690.4560644
3.37671787334853,28531362.7007553,55853516.128636
3.38493373192115,28532309.3242415,55848310.3347814
3.39314959049378,28533245.0915115,55843073.0121915
3.4013654490664,28534170.0080706,55837804.0980122
3.40958130763903,28535084.0793584,55832503.528841
3.41779716621165,28535987.3107483,55827171.2407217
3.42601302478427,28536879.7075481,55821807.1691404
3.4342288833569,28537761.2749998,55816411.2490206
3.44244474192952,28538632.0182797,55810983.4147186
3.45066060050215,28539491.9424986,55805523.6000192
3.45887645907477,28540341.052702,55800031.7381302
3.4670923176474,28541179.35387,55794507.7616781
3.47530817622002,28542006.8509175,55788951.6027032
3.48352403479264,28542823.5486944,55783363.1926541
3.49173989336527,28543629.4519854,55777742.4623835
3.49995575193789,28544424.5655105,55772089.3421424
3.50817161051052,28545208.8939247,55766403.7615751
3.51638746908314,28545982.4418184,55760685.6497143
3.52460332765576,28546745.2137173,55754934.9349754
3.53281918622839,28547497.2140827,55749151.5451512
3.54103504480101,28548238.4473111,55743335.4074065
3.54925090337364,28548968.9177351,55737486.4482728
3.55746676194626,28549688.6296228,55731604.5936421
3.56568262051888,28550397.5871779,55725689.7687618
3.57389847909151,28551095.7945405,55719741.8982289
3.58211433766413,28551783.2557862,55713760.9059835
3.59033019623676,28552459.9749269,55707746.7153038
3.59854605480938,28553125.9559106,55701699.2487994
3.60676191338201,28553781.2026215,55695618.4284059
3.61497777195463,28554425.7188801,55689504.1753778
3.62319363052725,28555059.5084434,55683356.4102832
3.63140948909988,28555682.5750046,55677175.0529968
3.6396253476725,28556294.9221936,55670960.0226938
3.64784120624513,28556896.5535769,55664711.2378434
3.65605706481775,28557487.4726576,55658428.6162019
3.66427292339038,28558067.6828755,55652112.0748064
3.672488781963,28558637.1876073,55645761.5299678
3.68070464053562,28559195.9901665,55639376.8972637
3.68892049910825,28559744.0938035,55632958.0915319
3.69713635768087,28560281.501706,55626505.026863
3.7053522162535,28560808.2169983,55620017.6165932
3.71356807482612,28561324.2427421,55613495.7732972
3.72178393339874,28561829.5819363,28561829.5819363
3.72999979197137,28562324.2375169,28562324.2375169
3.73821565054399,28562808.2123574,28562808.2123574
3.74643150911662,28563281.5092685,28563281.5092685
3.75464736768924,28563744.1309984,28563744.1309984
3.76286322626187,28564196.0802327,28564196.0802327
3.77107908483449,28564637.3595945,28564637.3595945
3.77929494340711,28565067.9716447,28565067.9716447
3.78751080197974,28565487.9188815,28565487.9188815
3.79572666055236,28565897.2037411,28565897.2037411
3.80394251912499,28566295.8285972,28566295.8285972
3.81215837769761,28566683.7957613,28566683.7957613
3.82037423627023,28567061.1074828,28567061.1074828
3.82859009484286,28567427.7659489,28567427.7659489
3.83680595341548,28567783.7732847,28567783.7732847
3.84502181198811,28568129.1315532,28568129.1315532
3.85323767056073,28568463.8427556,28568463.8427556
3.86145352913335,28568787.9088308,28568787.9088308
3.86966938770598,28569101.3316561,28569101.3316561
3.8778852462786,28569404.1130466,28569404.1130466
3.88610110485123,28569696.2547557,28569696.2547557
3.89431696342385,28569977.7584749,28569977.7584749
3.90253282199648,28570248.625834,28570248.625834
3.9107486805691,28570508.858401,28570508.858401
3.91896453914172,28570758.457682,28570758.457682
3.92718039771435,28570997.4251217,28570997.4251217
3.93539625628697,28571225.7621029,28571225.7621029
3.9436121148596,28571443.4699467,28571443.4699467
3.95182797343222,28571650.5499129,28571650.5499129
3.96004383200484,28571847.0031993,28571847.0031993
3.96825969057747,28572032.8309423,28572032.8309423
3.97647554915009,28572208.0342169,28572208.0342169
3.98469140772272,28572372.6140363,28572372.6140363
3.99290726629534,28572526.5713524,28572526.5713524
4.00112312486797,28572669.9070554,28572669.9070554
4.00933898344059,28572802.6219742,28572802.6219742
4.01755484201321,28572924.7168762,28572924.7168762
4.02577070058584,28573036.1924674,28573036.1924674
4.03398655915846,28573137.0493922,28573137.0493922
4.04220241773109,28573227.2882336,28573227.2882336
4.05041827630371,28573306.9095134,28573306.9095134
4.05863413487633,28573375.9136919,28573375.9136919
4.06684999344896,28573434.301168,28573434.301168
4.07506585202158,28573482.0722791,28573482.0722791
4.08328171059421,28573519.2273014,28573519.2273014
4.09149756916683,28573545.7664496,28573545.7664496
4.09971342773946,28573561.6898771,28573561.6898771
4.10792928631208,28573566.9976761,28573566.9976761
4.1161451448847,28573561.6898771,28573561.6898771
4.12436100345733,28573545.7664496,28573545.7664496
4.13257686202995,28573519.2273014,28573519.2273014
4.14079272060258,28573482.0722791,28573482.0722791
4.1490085791752,28573434.301168,28573434.301168
4.15722443774782,28573375.9136919,28573375.9136919
4.16544029632045,28573306.9095134,28573306.9095134
4.17365615489307,28573227.2882336,28573227.2882336
4.1818720134657,28573137.0493922,28573137.0493922
4.19008787203832,28573036.1924674,28573036.1924674
4.19830373061095,28572924.7168762,28572924.7168762
4.20651958918357,28572802.6219742,28572802.6219742
4.21473544775619,28572669.9070554,28572669.9070554
4.22295130632882,28572526.5713524,28572526.5713524
4.23116716490144,28572372.6140363,28572372.6140363
4.23938302347407,28572208.0342169,28572208.0342169
4.24759888204669,28572032.8309423,28572032.8309423
4.25581474061931,28571847.0031993,28571847.0031993
4.26403059919194,28571650.5499129,28571650.5499129
4.27224645776456,28571443.4699467,28571443.4699467
4.28046231633719,28571225.7621029,28571225.7621029
4.28867817490981,28570997.4251217,28570997.4251217
4.29689403348244,28570758.457682,28570758.457682
4.30510989205506,28570508.858401,28570508.858401
4.31332575062768,28570248.625834,28570248.625834
4.32154160920031,28569977.7584749,28569977.7584749
4.32975746777293,28569696.2547557,28569696.2547557
4.33797332634556,28569404.1130466,28569404.1130466
4.34618918491818,28569101.3316561,28569101.3316561
4.3544050434908,28568787.9088308,28568787.9088308
4.36262090206343,28568463.8427556,28568463.8427556
4.37083676063605,28568129.1315532,28568129.1315532
4.37905261920868,28567783.7732847,28567783.7732847
4.3872684777813,28567427.7659489,28567427.7659489
4.39548433635392,28567061.1074828,28567061.1074828
4.40370019492655,28566683.7957613,28566683.7957613
4.41191605349917,28566295.8285972,28566295.8285972
4.4201319120718,28565897.2037411,28565897.2037411
4.42834777064442,28565487.9188815,28565487.9188815
4.43656362921705,28565067.9716447,28565067.9716447
4.44477948778967,28564637.3595945,28564637.3595945
4.45299534636229,28564196.0802327,28564196.0802327
4.46121120493492,28563744.1309984,28563744.1309984
4.46942706350754,28563281.5092685,28563281.5092685
4.47764292208017,28562808.2123574,28562808.2123574
4.48585878065279,28562324.2375169,28562324.2375169
4.49407463922542,28561829.5819363,28561829.5819363
4.50229049779804,28561324.2427421,55613495.7732972
4.51050635637066,28560808.2169983,55620017.6165932
4.51872221494329,28560281.501706,55626505.026863
4.52693807351591,28559744.0938035,55632958.0915319
4.53515393208854,28559195.9901665,55639376.8972637
4.54336979066116,28558637.1876073,55645761.5299678
4.55158564923378,28558067.6828755,55652112.0748064
4.55980150780641,28557487.4726576,55658428.6162019
4.56801736637903,28556896.5535769,55664711.2378434
4.57623322495166,28556294.9221936,55670960.0226938
4.58444908352428,28555682.5750046,55677175.0529968
4.59266494209691,28555059.5084434,55683356.4102832
4.60088080066953,28554425.7188801,55689504.1753778
4.60909665924215,28553781.2026215,55695618.4284059
4.61731251781478,28553125.9559106,55701699.2487994
4.6255283763874,28552459.9749269,55707746.7153038
4.63374423496003,28551783.2557862,55713760.9059835
4.64196009353265,28551095.7945405,55719741.8982289
4.65017595210527,28550397.5871779,55725689.7687618
4.6583918106779,28549688.6296228,55731604.5936421
4.66660766925052,28548968.9177351,55737486.4482728
4.67482352782315,28548238.4473111,55743335.4074065
4.68303938639577,28547497.2140827,55749151.5451512
4.69125524496839,28546745.2137173,55754934.9349754
4.69947110354102,28545982.4418184,55760685.6497143
4.70768696211364,28545208.8939247,55766403.7615751
4.71590282068627,28544424.5655105,55772089.3421424
4.72411867925889,28543629.4519854,55777742.4623835
4.73233453783152,28542823.5486944,55783363.1926541
4.74055039640414,28542006.8509175,55788951.6027032
4.74876625497676,28541179.35387,55794507.7616781
4.75698211354939,28540341.052702,55800031.7381302
4.76519797212201,28539491.9424986,55805523.6000192
4.77341383069464,28538632.0182797,55810983.4147186
4.78162968926726,28537761.2749998,55816411.2490206
4.78984554783989,28536879.7075481,55821807.1691404
4.79806140641251,28535987.3107483,55827171.2407217
4.80627726498513,28535084.0793584,55832503.528841
4.81449312355776,28534170.0080706,55837804.0980122
