betai,K,K_M
2.05109974765001,87781004.3650536,181473329.634485
2.06652155026392,87831721.6368794,181495416.563087
2.08194335287783,87882278.5098559,181517204.319812
2.09736515549174,87932675.1969772,181538693.018623
2.11278695810565,87982911.9098727,181559882.771624
2.12820876071956,88032988.8588244,181580773.689076
2.14363056333347,88082906.2527783,181601365.879407
2.15905236594738,88132664.2993648,181621659.44923
2.17447416856129,88182263.2049065,181641654.50335
2.1898959711752,88231703.1744349,181661351.144783
2.20531777378911,88280984.4117045,181680749.474759
2.22073957640302,88330107.1192072,181699849.592746
2.23616137901693,88379071.4981847,181718651.596453
2.25158318163084,88427877.7486394,181737155.581843
2.26700498424475,88476526.0693519,181755361.64315
2.28242678685866,88525016.6578908,181773269.87288
2.29784858947257,88573349.7106263,181790880.361832
2.31327039208648,88621525.4227421,181808193.199103
2.32869219470039,88669543.9882484,181825208.472099
2.3441139973143,88717405.5999936,181841926.266548
2.35953579992821,88765110.4496762,181858346.666508
2.37495760254212,88812658.7278558,181874469.754374
2.39037940515603,88860050.6239646,181890295.610894
2.40580120776994,88907286.3263222,181905824.315174
2.42122301038385,88954366.0221406,181921055.944688
2.43664481299776,89001289.8975416,181935990.575288
2.45206661561167,89048058.1375618,181950628.28121
2.46748841822558,89094670.9261682,181964969.135085
2.48291022083949,89141128.4462663,181979013.207951
2.4983320234534,89187430.8797096,181992760.569252
2.51375382606731,89233578.407312,182006211.286853
2.52917562868122,89279571.2088567,182019365.427046
2.54459743129513,89325409.4631075,182032223.05456
2.56001923390904,89371093.3478143,182044784.23256
2.57544103652295,89416623.0397285,182057049.022668
2.59086283913686,89461998.7146093,182069017.484957
2.60628464175077,89507220.5472316,182080689.677963
2.62170644436468,89552288.7113981,182092065.658695
2.63712824697859,89597203.3799489,182103145.482636
2.6525500495925,89641964.7247655,182113929.203752
2.66797185220641,89686572.916786,182124416.874499
2.68339365482032,89731028.1260072,182134608.545825
2.69881545743423,89775330.5214995,182144504.267183
2.71423726004814,89819480.271411,182154104.086527
2.72965906266205,89863477.5429765,182163408.050325
2.74508086527596,89907322.5025261,182172416.203563
2.76050266788987,89951015.3154948,182181128.589747
2.77592447050378,89994556.1464264,182189545.250909
2.79134627311769,90037945.1589861,182197666.227616
2.8067680757316,90081182.515963,182205491.558966
2.82218987834551,90124268.3792828,182213021.282601
2.83761168095942,90167202.9100115,182220255.434709
2.85303348357333,90209986.2683639,182227194.050023
2.86845528618724,90252618.6137113,182233837.16183
2.88387708880115,90295100.1045871,182240184.801974
2.89929889141506,90337430.8986951,182246237.000857
2.91472069402897,90379611.152918,182251993.787448
2.93014249664288,90421641.0233204,182257455.18928
2.94556429925679,90463520.6651555,182262621.232455
2.9609861018707,90505250.2328769,182267491.941649
2.97640790448461,90546829.88014,182272067.340115
2.99182970709852,90588259.7598095,182276347.449678
3.00725150971243,90629540.0239662,182280332.290751
3.02267331232634,90670670.8239136,182284021.882323
3.03809511494025,90711652.3101828,182287416.241971
3.05351691755416,90752484.6325384,182290515.385859
3.06893872016807,90793167.939988,182293319.32874
3.08436052278198,90833702.3807814,182295828.083954
3.09978232539589,90874088.1024217,182298041.663434
3.1152041280098,90914325.251669,182299960.077707
3.1306259306237,90954413.9745456,182301583.335894
3.14604773323761,90994354.4163431,182302911.445711
3.16146953585152,91034146.7216242,182303944.413469
3.17689133846543,91073791.0342332,182304682.244076
3.19231314107934,91113287.4972961,182305124.941038
3.20773494369325,91152636.2532291,182305272.506458
3.22315674630716,91191837.4437421,182305124.941038
3.23857854892107,91230891.2098427,182304682.244076
3.25400035153498,91269797.6918446,182303944.413469
3.26942215414889,91308557.0293683,182302911.445711
3.2848439567628,91347169.3613482,182301583.335894
3.30026575937671,91385634.8260378,182299960.077707
3.31568756199062,91423953.5610119,182298041.663434
3.33110936460453,91462125.7031722,182295828.083954
3.34653116721844,91500151.3887519,182293319.32874
3.36195296983235,91538030.753321,182290515.385859
3.37737477244626,91575763.9317884,182287416.241971
3.39279657506017,91613351.0584096,182284021.882323
3.40821837767408,91650792.2667847,182280332.290751
3.42364018028799,91688087.6898688,182276347.449678
3.4390619829019,91725237.4599746,182272067.340115
3.45448378551581,91762241.708772,182267491.941649
3.46990558812972,91799100.5672995,182262621.232455
3.48532739074363,91835814.16596,182257455.18928
3.50074919335754,91872382.6345303,182251993.787448
3.51617099597145,91908806.1021621,182246237.000857
3.53159279858536,91945084.6973868,182240184.801974
3.54701460119927,91981218.5481188,182233837.16183
3.56243640381318,92017207.7816595,182227194.050023
3.57785820642709,92053052.5246975,182220255.434709
3.593280009041,92088752.9033187,182213021.282601
3.60870181165491,92124309.0430026,182205491.558966
3.62412361426882,92159721.0686294,182197666.227616
3.63954541688273,92194989.1044826,182189545.250909
3.65496721949664,92230113.2742523,182181128.589747
3.67038902211055,92265093.7010367,182172416.203563
3.68581082472446,92299930.5073487,182163408.050325
